sonar_component_key,repo,project,lang
newtonjose_cs-2019-01,https://github.com/newtonjose/cs-2019-01,newtonjose/cs-2019-01,Java
T-Systems-MMS_skoop-server,https://github.com/T-Systems-MMS/skoop-server,T-Systems-MMS/skoop-server,Java
org.synyx:urlaubsverwaltung,https://github.com/synyx/urlaubsverwaltung,synyx/urlaubsverwaltung,Java
DoublesunRUS_ru.capralow.dt.unit.launcher,https://github.com/DoublesunRUS/ru.capralow.dt.unit.launcher,DoublesunRUS/ru.capralow.dt.unit.launcher,Java
uk.gov.hmcts.reform:bulk-scan-orchestrator,https://github.com/hmcts/bulk-scan-orchestrator,hmcts/bulk-scan-orchestrator,Java
fr.credeville.cdb:computer-database,https://github.com/Lumenol/computer-database,Lumenol/computer-database,Java
org.openstreetmap.atlas:atlas-checks,https://github.com/osmlab/atlas-checks,osmlab/atlas-checks,Java
org.trellisldp:trellis,https://github.com/trellis-ldp/trellis,trellis-ldp/trellis,Java
resilience4j_resilience4j,https://github.com/resilience4j/resilience4j,resilience4j/resilience4j,Java
uk.gov.justice.example:cake-shop,https://github.com/CJSCommonPlatform/cake-shop,CJSCommonPlatform/cake-shop,Java
uk.gov.justice:stream-transformation-tool,https://github.com/CJSCommonPlatform/stream-transformation-tool,CJSCommonPlatform/stream-transformation-tool,Java
org.apn.elasticsearch:elasticsearch-elixir,https://github.com/amitnema/elasticsearch-elixir,amitnema/elasticsearch-elixir,Java
JanMalch_kino,https://github.com/JanMalch/kino,JanMalch/kino,Java
uk.gov.hmcts.reform.em.orchestrator:rpa-em-ccd-orchestrator,https://github.com/hmcts/rpa-em-ccd-orchestrator,hmcts/rpa-em-ccd-orchestrator,Java
uk.gov.justice.event-store:event-store,https://github.com/CJSCommonPlatform/event-store,CJSCommonPlatform/event-store,Java
com.exasol:virtual-schema-common-java,https://github.com/exasol/virtual-schema-common-java,exasol/virtual-schema-common-java,Java
uk.gov.justice.framework-generators:framework-generators,https://github.com/CJSCommonPlatform/framework-generators,CJSCommonPlatform/framework-generators,Java
eskaton_asn4j,https://github.com/eskaton/asn4j,eskaton/asn4j,Java
io.github.vocabhunter:vocabhunter,https://github.com/VocabHunter/vocabhunter,VocabHunter/vocabhunter,Java
org.molgenis:molgenis,https://github.com/molgenis/molgenis,molgenis/molgenis,Java
uk.gov.justice.generators:jsonschema-pojo-generator,https://github.com/CJSCommonPlatform/jsonschema-pojo-generator,CJSCommonPlatform/jsonschema-pojo-generator,Java
jp.skypencil.guava:guava-helper-for-java-8,https://github.com/KengoTODA/guava-helper-for-java-8,KengoTODA/guava-helper-for-java-8,Java
uk.gov.justice.schema:json-schema-catalog,https://github.com/CJSCommonPlatform/json-schema-catalog,CJSCommonPlatform/json-schema-catalog,Java
uk.gov.justice.maven.generator:generator-maven-plugin,https://github.com/CJSCommonPlatform/generator-maven-plugin,CJSCommonPlatform/generator-maven-plugin,Java
uk.gov.justice.framework-api:framework-api,https://github.com/CJSCommonPlatform/framework-api,CJSCommonPlatform/framework-api,Java
uk.gov.hmcts.reform:bulk-scan-processor,https://github.com/hmcts/bulk-scan-processor,hmcts/bulk-scan-processor,Java
com.sflpro.notifier:notifier,https://github.com/sflpro/notifier,sflpro/notifier,Java
io.github.mivek:metarParser,https://github.com/mivek/metarParser,mivek/metarParser,Java
ru.r2cloud:r2cloud,https://github.com/dernasherbrezon/r2cloud,dernasherbrezon/r2cloud,Java
es.upm.miw:betca-tpv-spring,https://github.com/miw-upm/betca-tpv-spring,miw-upm/betca-tpv-spring,Java
yahoo_fili,https://github.com/yahoo/fili,yahoo/fili,Java
com.github.robozonky:robozonky,https://github.com/RoboZonky/robozonky,RoboZonky/robozonky,Java
