metric,value,key,project
CYCLO_LOC,0.09,AWqb9zI7EGMyMe6L8UR_,artemis-manager
FANOUT_CALLS,0.26,AWqb9zI7EGMyMe6L8UR_,artemis-manager
AHH,0.21,AWU6O3j1WWqqPQVjPVos,artemis-manager
NOC_NOP,3.2,AWU6O3j1WWqqPQVjPVos,artemis-manager
NOM_NOC,4.75,AWU6O3j1WWqqPQVjPVos,artemis-manager
LOC_NOM,7.98,AWU6O3j1WWqqPQVjPVos,artemis-manager
CALLS_NOM,6.14,AWU6O3j1WWqqPQVjPVos,artemis-manager
CYCLO_LOC,0.12,AWU6O3j1WWqqPQVjPVos,artemis-manager
FANOUT_CALLS,0.29,AWU6O3j1WWqqPQVjPVos,artemis-manager
AHH,0.07,AWqb-unVbVBTIP9ImB--,artemis-manager
NOC_NOP,4.66,AWqb-unVbVBTIP9ImB--,artemis-manager
NOM_NOC,2.92,AWqb-unVbVBTIP9ImB--,artemis-manager
LOC_NOM,9.88,AWqb-unVbVBTIP9ImB--,artemis-manager
CALLS_NOM,7.2,AWqb-unVbVBTIP9ImB--,artemis-manager
CYCLO_LOC,0.09,AWqb-unVbVBTIP9ImB--,artemis-manager
FANOUT_CALLS,0.26,AWqb-unVbVBTIP9ImB--,artemis-manager
AHH,0.05,AWsh92NpmYdWcjRgdbER,artemis-manager
NOC_NOP,4.81,AWsh92NpmYdWcjRgdbER,artemis-manager
NOM_NOC,2.83,AWsh92NpmYdWcjRgdbER,artemis-manager
LOC_NOM,10.38,AWsh92NpmYdWcjRgdbER,artemis-manager
CALLS_NOM,7.92,AWsh92NpmYdWcjRgdbER,artemis-manager
CYCLO_LOC,0.09,AWsh92NpmYdWcjRgdbER,artemis-manager
FANOUT_CALLS,0.23,AWsh92NpmYdWcjRgdbER,artemis-manager
AHH,0.1,AWaxEiV5O08i52vdun4-,artemis-manager
NOC_NOP,4.12,AWaxEiV5O08i52vdun4-,artemis-manager
NOM_NOC,3.27,AWaxEiV5O08i52vdun4-,artemis-manager
LOC_NOM,8.29,AWaxEiV5O08i52vdun4-,artemis-manager
CALLS_NOM,5.91,AWaxEiV5O08i52vdun4-,artemis-manager
CYCLO_LOC,0.11,AWaxEiV5O08i52vdun4-,artemis-manager
FANOUT_CALLS,0.3,AWaxEiV5O08i52vdun4-,artemis-manager
AHH,0.05,AWt0Q6pjo7ppj_joyTGL,artemis-manager
NOC_NOP,5.6,AWt0Q6pjo7ppj_joyTGL,artemis-manager
NOM_NOC,2.48,AWt0Q6pjo7ppj_joyTGL,artemis-manager
LOC_NOM,10.46,AWt0Q6pjo7ppj_joyTGL,artemis-manager
CALLS_NOM,8.2,AWt0Q6pjo7ppj_joyTGL,artemis-manager
CYCLO_LOC,0.08,AWt0Q6pjo7ppj_joyTGL,artemis-manager
FANOUT_CALLS,0.22,AWt0Q6pjo7ppj_joyTGL,artemis-manager
AHH,0.1,AWjc0QKceedjntrDJG_x,artemis-manager
NOC_NOP,4.12,AWjc0QKceedjntrDJG_x,artemis-manager
NOM_NOC,3.27,AWjc0QKceedjntrDJG_x,artemis-manager
LOC_NOM,8.35,AWjc0QKceedjntrDJG_x,artemis-manager
CALLS_NOM,6.04,AWjc0QKceedjntrDJG_x,artemis-manager
CYCLO_LOC,0.1,AWjc0QKceedjntrDJG_x,artemis-manager
FANOUT_CALLS,0.29,AWjc0QKceedjntrDJG_x,artemis-manager
AHH,0.11,AWVg1fVVsniGm95W669G,artemis-manager
NOC_NOP,3.62,AWVg1fVVsniGm95W669G,artemis-manager
NOM_NOC,3.24,AWVg1fVVsniGm95W669G,artemis-manager
LOC_NOM,8.08,AWVg1fVVsniGm95W669G,artemis-manager
CALLS_NOM,6.18,AWVg1fVVsniGm95W669G,artemis-manager
CYCLO_LOC,0.11,AWVg1fVVsniGm95W669G,artemis-manager
FANOUT_CALLS,0.27,AWVg1fVVsniGm95W669G,artemis-manager
AHH,0.11,AWp0K4DVYsUHy63n_j0k,asn4j
NOC_NOP,9.31,AWp0K4DVYsUHy63n_j0k,asn4j
NOM_NOC,3.11,AWp0K4DVYsUHy63n_j0k,asn4j
LOC_NOM,6.74,AWp0K4DVYsUHy63n_j0k,asn4j
CALLS_NOM,1.7,AWp0K4DVYsUHy63n_j0k,asn4j
CYCLO_LOC,0.21,AWp0K4DVYsUHy63n_j0k,asn4j
FANOUT_CALLS,0.41,AWp0K4DVYsUHy63n_j0k,asn4j
AHH,0.11,AWpwV0p0o4hEA1R-cqio,asn4j
NOC_NOP,9.25,AWpwV0p0o4hEA1R-cqio,asn4j
NOM_NOC,3.1,AWpwV0p0o4hEA1R-cqio,asn4j
LOC_NOM,6.7,AWpwV0p0o4hEA1R-cqio,asn4j
CALLS_NOM,1.62,AWpwV0p0o4hEA1R-cqio,asn4j
CYCLO_LOC,0.22,AWpwV0p0o4hEA1R-cqio,asn4j
FANOUT_CALLS,0.43,AWpwV0p0o4hEA1R-cqio,asn4j
AHH,0.11,AW9T1zam7V0B6AVH2mpq,asn4j
NOC_NOP,12.8,AW9T1zam7V0B6AVH2mpq,asn4j
NOM_NOC,2.98,AW9T1zam7V0B6AVH2mpq,asn4j
LOC_NOM,5.75,AW9T1zam7V0B6AVH2mpq,asn4j
CALLS_NOM,1.74,AW9T1zam7V0B6AVH2mpq,asn4j
CYCLO_LOC,0.22,AW9T1zam7V0B6AVH2mpq,asn4j
FANOUT_CALLS,0.35,AW9T1zam7V0B6AVH2mpq,asn4j
AHH,0.11,AW9YmaznpSZ5360cUviL,asn4j
NOC_NOP,13.14,AW9YmaznpSZ5360cUviL,asn4j
NOM_NOC,2.93,AW9YmaznpSZ5360cUviL,asn4j
LOC_NOM,5.73,AW9YmaznpSZ5360cUviL,asn4j
CALLS_NOM,1.65,AW9YmaznpSZ5360cUviL,asn4j
CYCLO_LOC,0.22,AW9YmaznpSZ5360cUviL,asn4j
