metric,value,key,project
FANOUT/CALLS,0.17,AWwkQggbW8tMQ_EcCF5-,alf.io
CYCLO,586,AWwkQggbW8tMQ_EcCF5-,alf.io
FANOUT,249,AWwkQggbW8tMQ_EcCF5-,alf.io
AHH,0,AWw0Y2WaIMOe96U6ccss,alf.io
NOC/NOP,5.09,AWw0Y2WaIMOe96U6ccss,alf.io
NOP,41,AWw0Y2WaIMOe96U6ccss,alf.io
NOM/NOC,3.47,AWw0Y2WaIMOe96U6ccss,alf.io
NOC,209,AWw0Y2WaIMOe96U6ccss,alf.io
LOC/NOM,3.8,AWw0Y2WaIMOe96U6ccss,alf.io
NOM,727,AWw0Y2WaIMOe96U6ccss,alf.io
CALLS/NOM,2.1,AWw0Y2WaIMOe96U6ccss,alf.io
CYCLO/LOC,0.21,AWw0Y2WaIMOe96U6ccss,alf.io
LOC,2767,AWw0Y2WaIMOe96U6ccss,alf.io
CALLS,1528,AWw0Y2WaIMOe96U6ccss,alf.io
FANOUT/CALLS,0.17,AWw0Y2WaIMOe96U6ccss,alf.io
CYCLO,602,AWw0Y2WaIMOe96U6ccss,alf.io
FANOUT,267,AWw0Y2WaIMOe96U6ccss,alf.io
AHH,0,AWuYrBEoW3oRL9pxja5G,alf.io
NOC/NOP,5.09,AWuYrBEoW3oRL9pxja5G,alf.io
NOP,41,AWuYrBEoW3oRL9pxja5G,alf.io
NOM/NOC,3.32,AWuYrBEoW3oRL9pxja5G,alf.io
NOC,209,AWuYrBEoW3oRL9pxja5G,alf.io
LOC/NOM,3.76,AWuYrBEoW3oRL9pxja5G,alf.io
NOM,695,AWuYrBEoW3oRL9pxja5G,alf.io
CALLS/NOM,2.04,AWuYrBEoW3oRL9pxja5G,alf.io
CYCLO/LOC,0.21,AWuYrBEoW3oRL9pxja5G,alf.io
LOC,2619,AWuYrBEoW3oRL9pxja5G,alf.io
CALLS,1420,AWuYrBEoW3oRL9pxja5G,alf.io
FANOUT/CALLS,0.17,AWuYrBEoW3oRL9pxja5G,alf.io
CYCLO,575,AWuYrBEoW3oRL9pxja5G,alf.io
FANOUT,242,AWuYrBEoW3oRL9pxja5G,alf.io
AHH,0,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOC/NOP,5.09,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOP,41,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOM/NOC,3.32,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOC,209,AWuvUPQgv_PjJ-UOfy1o,alf.io
LOC/NOM,3.76,AWuvUPQgv_PjJ-UOfy1o,alf.io
NOM,695,AWuvUPQgv_PjJ-UOfy1o,alf.io
CALLS/NOM,2.04,AWuvUPQgv_PjJ-UOfy1o,alf.io
CYCLO/LOC,0.21,AWuvUPQgv_PjJ-UOfy1o,alf.io
LOC,2619,AWuvUPQgv_PjJ-UOfy1o,alf.io
CALLS,1421,AWuvUPQgv_PjJ-UOfy1o,alf.io
FANOUT/CALLS,0.17,AWuvUPQgv_PjJ-UOfy1o,alf.io
CYCLO,574,AWuvUPQgv_PjJ-UOfy1o,alf.io
FANOUT,242,AWuvUPQgv_PjJ-UOfy1o,alf.io
AHH,0,AW69tsBd_TDA0Kp8fI6T,alf.io
NOC/NOP,5.19,AW69tsBd_TDA0Kp8fI6T,alf.io
NOP,42,AW69tsBd_TDA0Kp8fI6T,alf.io
NOM/NOC,3.35,AW69tsBd_TDA0Kp8fI6T,alf.io
NOC,218,AW69tsBd_TDA0Kp8fI6T,alf.io
LOC/NOM,4.16,AW69tsBd_TDA0Kp8fI6T,alf.io
NOM,731,AW69tsBd_TDA0Kp8fI6T,alf.io
CALLS/NOM,2.15,AW69tsBd_TDA0Kp8fI6T,alf.io
CYCLO/LOC,0.21,AW69tsBd_TDA0Kp8fI6T,alf.io
LOC,3047,AW69tsBd_TDA0Kp8fI6T,alf.io
CALLS,1576,AW69tsBd_TDA0Kp8fI6T,alf.io
FANOUT/CALLS,0.17,AW69tsBd_TDA0Kp8fI6T,alf.io
CYCLO,650,AW69tsBd_TDA0Kp8fI6T,alf.io
FANOUT,273,AW69tsBd_TDA0Kp8fI6T,alf.io
AHH,0,AWy6bMuMGiD8zJdnwr97,alf.io
NOC/NOP,5.09,AWy6bMuMGiD8zJdnwr97,alf.io
NOP,41,AWy6bMuMGiD8zJdnwr97,alf.io
NOM/NOC,3.48,AWy6bMuMGiD8zJdnwr97,alf.io
NOC,209,AWy6bMuMGiD8zJdnwr97,alf.io
LOC/NOM,3.81,AWy6bMuMGiD8zJdnwr97,alf.io
NOM,728,AWy6bMuMGiD8zJdnwr97,alf.io
CALLS/NOM,2.11,AWy6bMuMGiD8zJdnwr97,alf.io
CYCLO/LOC,0.21,AWy6bMuMGiD8zJdnwr97,alf.io
LOC,2777,AWy6bMuMGiD8zJdnwr97,alf.io
CALLS,1541,AWy6bMuMGiD8zJdnwr97,alf.io
FANOUT/CALLS,0.17,AWy6bMuMGiD8zJdnwr97,alf.io
CYCLO,601,AWy6bMuMGiD8zJdnwr97,alf.io
FANOUT,264,AWy6bMuMGiD8zJdnwr97,alf.io
AHH,0,AWxoCg-u5ULuzyOxRhXa,alf.io
NOC/NOP,5.12,AWxoCg-u5ULuzyOxRhXa,alf.io
NOP,41,AWxoCg-u5ULuzyOxRhXa,alf.io
NOM/NOC,3.46,AWxoCg-u5ULuzyOxRhXa,alf.io
NOC,210,AWxoCg-u5ULuzyOxRhXa,alf.io
LOC/NOM,3.81,AWxoCg-u5ULuzyOxRhXa,alf.io
NOM,728,AWxoCg-u5ULuzyOxRhXa,alf.io
CALLS/NOM,2.1,AWxoCg-u5ULuzyOxRhXa,alf.io
CYCLO/LOC,0.21,AWxoCg-u5ULuzyOxRhXa,alf.io
LOC,2777,AWxoCg-u5ULuzyOxRhXa,alf.io
CALLS,1536,AWxoCg-u5ULuzyOxRhXa,alf.io
FANOUT/CALLS,0.17,AWxoCg-u5ULuzyOxRhXa,alf.io
CYCLO,603,AWxoCg-u5ULuzyOxRhXa,alf.io
FANOUT,266,AWxoCg-u5ULuzyOxRhXa,alf.io
AHH,0,AWuY5G_Av7VSpZCtghXJ,alf.io
NOC/NOP,5.09,AWuY5G_Av7VSpZCtghXJ,alf.io
NOP,41,AWuY5G_Av7VSpZCtghXJ,alf.io
NOM/NOC,3.32,AWuY5G_Av7VSpZCtghXJ,alf.io
NOC,209,AWuY5G_Av7VSpZCtghXJ,alf.io
LOC/NOM,3.76,AWuY5G_Av7VSpZCtghXJ,alf.io
NOM,695,AWuY5G_Av7VSpZCtghXJ,alf.io
CALLS/NOM,2.04,AWuY5G_Av7VSpZCtghXJ,alf.io
CYCLO/LOC,0.21,AWuY5G_Av7VSpZCtghXJ,alf.io
LOC,2619,AWuY5G_Av7VSpZCtghXJ,alf.io
CALLS,1420,AWuY5G_Av7VSpZCtghXJ,alf.io
FANOUT/CALLS,0.17,AWuY5G_Av7VSpZCtghXJ,alf.io
CYCLO,575,AWuY5G_Av7VSpZCtghXJ,alf.io
FANOUT,242,AWuY5G_Av7VSpZCtghXJ,alf.io
AHH,0,AWuuGgYNBA_P1GG62GRJ,alf.io
NOC/NOP,5.09,AWuuGgYNBA_P1GG62GRJ,alf.io
NOP,41,AWuuGgYNBA_P1GG62GRJ,alf.io
NOM/NOC,3.32,AWuuGgYNBA_P1GG62GRJ,alf.io
NOC,209,AWuuGgYNBA_P1GG62GRJ,alf.io
LOC/NOM,3.76,AWuuGgYNBA_P1GG62GRJ,alf.io
NOM,695,AWuuGgYNBA_P1GG62GRJ,alf.io
CALLS/NOM,2.04,AWuuGgYNBA_P1GG62GRJ,alf.io
CYCLO/LOC,0.21,AWuuGgYNBA_P1GG62GRJ,alf.io
LOC,2619,AWuuGgYNBA_P1GG62GRJ,alf.io
CALLS,1421,AWuuGgYNBA_P1GG62GRJ,alf.io
FANOUT/CALLS,0.17,AWuuGgYNBA_P1GG62GRJ,alf.io
CYCLO,574,AWuuGgYNBA_P1GG62GRJ,alf.io
FANOUT,242,AWuuGgYNBA_P1GG62GRJ,alf.io
AHH,0,AWudnxCOdgEyLZvlcNFU,alf.io
NOC/NOP,5.09,AWudnxCOdgEyLZvlcNFU,alf.io
NOP,41,AWudnxCOdgEyLZvlcNFU,alf.io
NOM/NOC,3.32,AWudnxCOdgEyLZvlcNFU,alf.io
NOC,209,AWudnxCOdgEyLZvlcNFU,alf.io
LOC/NOM,3.76,AWudnxCOdgEyLZvlcNFU,alf.io
NOM,695,AWudnxCOdgEyLZvlcNFU,alf.io
CALLS/NOM,2.04,AWudnxCOdgEyLZvlcNFU,alf.io
CYCLO/LOC,0.21,AWudnxCOdgEyLZvlcNFU,alf.io
LOC,2619,AWudnxCOdgEyLZvlcNFU,alf.io
CALLS,1421,AWudnxCOdgEyLZvlcNFU,alf.io
FANOUT/CALLS,0.17,AWudnxCOdgEyLZvlcNFU,alf.io
CYCLO,574,AWudnxCOdgEyLZvlcNFU,alf.io
FANOUT,242,AWudnxCOdgEyLZvlcNFU,alf.io
AHH,0,AWv__Tglt8Yy9tTWiA-S,alf.io
NOC/NOP,5.22,AWv__Tglt8Yy9tTWiA-S,alf.io
NOP,40,AWv__Tglt8Yy9tTWiA-S,alf.io
NOM/NOC,3.33,AWv__Tglt8Yy9tTWiA-S,alf.io
NOC,209,AWv__Tglt8Yy9tTWiA-S,alf.io
LOC/NOM,3.8,AWv__Tglt8Yy9tTWiA-S,alf.io
NOM,696,AWv__Tglt8Yy9tTWiA-S,alf.io
CALLS/NOM,2.05,AWv__Tglt8Yy9tTWiA-S,alf.io
CYCLO/LOC,0.21,AWv__Tglt8Yy9tTWiA-S,alf.io
LOC,2649,AWv__Tglt8Yy9tTWiA-S,alf.io
CALLS,1430,AWv__Tglt8Yy9tTWiA-S,alf.io
FANOUT/CALLS,0.16,AWv__Tglt8Yy9tTWiA-S,alf.io
CYCLO,575,AWv__Tglt8Yy9tTWiA-S,alf.io
FANOUT,240,AWv__Tglt8Yy9tTWiA-S,alf.io
AHH,0,AWwUI7cqS8X08MRy317T,alf.io
NOC/NOP,5.17,AWwUI7cqS8X08MRy317T,alf.io
NOP,41,AWwUI7cqS8X08MRy317T,alf.io
NOM/NOC,3.34,AWwUI7cqS8X08MRy317T,alf.io
NOC,212,AWwUI7cqS8X08MRy317T,alf.io
LOC/NOM,3.8,AWwUI7cqS8X08MRy317T,alf.io
NOM,709,AWwUI7cqS8X08MRy317T,alf.io
CALLS/NOM,2.06,AWwUI7cqS8X08MRy317T,alf.io
CYCLO/LOC,0.21,AWwUI7cqS8X08MRy317T,alf.io
LOC,2700,AWwUI7cqS8X08MRy317T,alf.io
CALLS,1463,AWwUI7cqS8X08MRy317T,alf.io
FANOUT/CALLS,0.17,AWwUI7cqS8X08MRy317T,alf.io
CYCLO,589,AWwUI7cqS8X08MRy317T,alf.io
FANOUT,251,AWwUI7cqS8X08MRy317T,alf.io
AHH,0,AWwuQBRciV0xWg5RKnd-,alf.io
